agent\.id,rule\.level,id,full_log
001,3,1775690242.5209376, 
001,3,1775690244.5218680, 
001,4,1775690251.5230103, 
001,3,1775690254.5244963, 
001,3,1775690319.5252269, 
001,4,1775690322.5258162, 
001,3,1775690336.5259838, 
001,3,1775690336.5282614, 
001,3,1775690343.5311412, 
001,3,1775690347.5339720, 
001,3,1775690347.5345368, 
001,3,1775690360.5373933, 
001,3,1775690396.5444621, 
001,3,1775690398.5450263, 
001,3,1775690426.5467801, 
001,3,1775690426.5473590, 
001,3,1775690427.5484986, 
001,3,1775690427.5513009, 
001,3,1775690427.5541731, 
001,3,1775690428.5547535, 
001,5,1775690429.5603580, 
001,3,1775690429.5606556, 
001,3,1775690429.5612492, 
001,4,1775690440.5782929, 
001,3,1775690444.5821988, 
001,3,1775690444.5827650, 
001,3,1775690450.5851774, 
001,3,1775690455.5863848, 
001,3,1775690466.5877593, 
000,3,1775690523.5895383,"type=AVC msg=audit(1775690523.132:334): avc:  denied  { ioctl } for  pid=1 comm=""systemd"" path=""/etc/systemd/system/updateIndexerHeap.service"" dev=""sda1"" ino=1805065 ioctlcmd=0x5401 scontext=system_u:system_r:init_t:s0 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file permissive=1"
001,3,1775690531.5902889, 
001,5,1775690686.5921695, 
001,3,1775690704.5930933, 
001,5,1775690704.5936871, 
001,3,1775690743.5960343, 
001,3,1775693553.2811385, 
001,3,1775693480.2768173, 
000,7,1775692914.0,"ossec: output: 'netstat listening ports':
tcp 0.0.0.0:22 0.0.0.0:* /usr
tcp6 :::22 :::* /usr
udp 192.168.80.142:68 0.0.0.0:* 3754/systemd-networ
udp 127.0.0.1:323 0.0.0.0:* 3167/chronyd
udp6 ::1:323 :::* 3167/chronyd
tcp 0.0.0.0:443 0.0.0.0:* 3086/node
tcp 0.0.0.0:1514 0.0.0.0:* 4351/wazuh-remoted
tcp 0.0.0.0:1515 0.0.0.0:* 4140/wazuh-authd
tcp 0.0.0.0:55000 0.0.0.0:* 4086/python3
tcp6 :::55000 :::* 4086/python3"
000,3,1775692922.22492,"type=AVC msg=audit(1775692922.587:223): avc:  denied  { ioctl } for  pid=1 comm=""systemd"" path=""/etc/systemd/system/updateIndexerHeap.service"" dev=""sda1"" ino=1805065 ioctlcmd=0x5401 scontext=system_u:system_r:init_t:s0 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file permissive=1"
001,4,1775692926.57345, 
001,3,1775692926.59587, 
001,3,1775692926.70819, 
001,5,1775692928.97125, 
001,3,1775692928.98623, 
001,3,1775692928.106614, 
001,5,1775692928.112953, 
001,3,1775692931.163469, 
001,3,1775692931.169838, 
001,3,1775692931.181560, 
001,3,1775692931.192872, 
001,3,1775692931.204973, 
001,3,1775692931.216322, 
001,8,1775692932.252076, 
001,3,1775692932.263281, 
001,3,1775692933.274025, 
001,3,1775692933.286695, 
001,3,1775692933.294218, 
001,3,1775692934.301997, 
001,3,1775692934.313382, 
001,3,1775692934.319391, 
001,3,1775692935.354600, 
001,3,1775692935.389580, 
001,3,1775692935.422692, 
001,4,1775692935.428759, 
001,3,1775692935.444752, 
001,4,1775692935.466226, 
001,4,1775692936.486490, 
001,3,1775692936.489209, 
001,3,1775692936.495410, 
001,3,1775692936.504386, 
001,3,1775692936.513748, 
001,3,1775692936.519949, 
001,3,1775692936.580211, 
001,3,1775692940.609775, 
001,3,1775692940.615631, 
001,3,1775692940.633274, 
001,3,1775692940.651247, 
001,3,1775692940.686816, 
001,3,1775692940.692672, 
001,3,1775692940.704674, 
001,3,1775692940.734404, 
001,3,1775692940.748991, 
001,3,1775692940.765237, 
001,3,1775692940.781750, 
001,4,1775692941.787787, 
001,4,1775692941.790634, 
001,3,1775692941.796328, 
001,3,1775692941.804429, 
001,4,1775692942.821679, 
001,4,1775692943.833420, 
001,3,1775692943.836269, 
001,3,1775692943.844938, 
001,3,1775692948.875236, 
001,3,1775692950.903404, 
001,3,1775692950.911721, 
001,4,1775692950.920038, 
001,3,1775692951.942854, 
001,3,1775692951.948674, 
001,4,1775692951.956749, 
001,3,1775693309.2375096, 
001,3,1775693311.2447228, 
001,3,1775693311.2463252, 
001,3,1775693311.2471272, 
001,3,1775693311.2487296, 
001,3,1775693311.2495302, 
001,3,1775693312.2511326, 
001,3,1775693312.2543382, 
001,3,1775693312.2584466, 
001,4,1775693312.2621862, 
001,3,1775693307.2319022, 
001,3,1775693307.2327032, 
001,3,1775693307.2343048, 
001,3,1775693293.2222880, 
001,3,1775693297.2270954, 
001,3,1775693471.2696531, 
001,3,1775693478.2744219, 
001,3,1775693478.2750119, 
001,3,1775693332.2642246, 
001,3,1775693332.2647985, 
001,3,1775693288.2190840, 
001,3,1775693291.2206860, 
001,3,1775693323.2624584, 
001,3,1775693323.2630474, 
001,3,1775693347.2654897, 
001,3,1775693068.1335566, 
001,3,1775693068.1358091, 
001,3,1775693068.1369234, 
001,3,1775693068.1380609, 
001,3,1775693068.1386247, 
001,3,1775693069.1414872, 
001,3,1775693069.1420534, 
001,3,1775693069.1437636, 
001,3,1775693069.1488712, 
001,3,1775693069.1494361, 
001,3,1775693069.1539733, 
001,3,1775693070.1568111, 
001,3,1775693070.1573808, 
001,3,1775693070.1607890, 
001,3,1775693070.1613627, 
