EventID,RecordNumber,ErrorCode,Timestamp,User,EventName,ProcessId,Reason,Operation,MessageText,ProcessCreationTime,Source,CallerProcessName,AuthenticationPackageName,IpAddress,SubjectUserName,TargetUserName,CommandLine,ProcessName,ParentProcessName,WorkstationName,RowID
5379,3584,,2026-04-01 17:19:32.890484+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3640
5379,3585,,2026-04-01 17:19:32.890562+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3641
5379,3586,,2026-04-01 17:19:32.890753+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3642
5379,3587,,2026-04-01 17:19:32.890902+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3643
4624,3588,,2026-04-01 17:19:43.989424+00:00,,,0x00000000000002dc,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,3644
4672,3589,,2026-04-01 17:19:43.989428+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,3645
4624,3590,,2026-04-01 17:19:59.758812+00:00,,,0x00000000000002dc,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,3646
4672,3591,,2026-04-01 17:19:59.758818+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,3647
0,175,,2026-04-01 17:20:00.130701+00:00,,,,,,,,Appiclation,,,,,,,,,,3648
4624,3592,,2026-04-01 17:20:00.214006+00:00,,,0x00000000000002dc,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,3649
4672,3593,,2026-04-01 17:20:00.214012+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,3650
4799,3594,,2026-04-01 17:20:00.454435+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,pizza,Administrators,,,,,3651
4624,3595,,2026-04-01 17:20:00.569544+00:00,,,0x00000000000002dc,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,3652
4672,3596,,2026-04-01 17:20:00.569550+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,3653
4624,3597,,2026-04-01 17:20:01.167952+00:00,,,0x00000000000002dc,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,3654
4672,3598,,2026-04-01 17:20:01.167955+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,3655
4799,3599,,2026-04-01 17:20:01.407320+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,pizza,Administrators,,,,,3656
7040,513,,2026-04-01 17:20:01.612328+00:00,,,,,,,,System,,,,,,,,,,3657
16384,176,,2026-04-01 17:20:02.702288+00:00,,,,,,,,Appiclation,,,,,,,,,,3658
903,177,,2026-04-01 17:20:03.095547+00:00,,,,,,,,Appiclation,,,,,,,,,,3659
5379,3600,,2026-04-01 17:20:03.827784+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3660
5379,3601,,2026-04-01 17:20:03.828836+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3661
5379,3602,,2026-04-01 17:20:03.828880+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3662
5379,3603,,2026-04-01 17:20:03.839203+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3663
5379,3604,,2026-04-01 17:20:03.844690+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3664
5379,3605,,2026-04-01 17:20:04.130621+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3665
5379,3606,,2026-04-01 17:20:04.130888+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3666
5379,3607,,2026-04-01 17:20:04.131092+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3667
5379,3608,,2026-04-01 17:20:04.131197+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3668
5379,3609,,2026-04-01 17:20:04.131376+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3669
5379,3610,,2026-04-01 17:20:04.131475+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3670
5379,3611,,2026-04-01 17:20:04.131599+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3671
5379,3612,,2026-04-01 17:20:04.131676+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3672
5379,3613,,2026-04-01 17:20:04.131784+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3673
5379,3614,,2026-04-01 17:20:04.131863+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3674
5379,3615,,2026-04-01 17:20:04.131964+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3675
5379,3616,,2026-04-01 17:20:04.132040+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3676
5379,3617,,2026-04-01 17:20:04.132141+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3677
5379,3618,,2026-04-01 17:20:04.132547+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3678
5379,3619,,2026-04-01 17:20:04.132710+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3679
5379,3620,,2026-04-01 17:20:04.133013+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3680
5379,3621,,2026-04-01 17:20:04.138086+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3681
5379,3622,,2026-04-01 17:20:04.138235+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3682
5379,3623,,2026-04-01 17:20:04.138353+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3683
5379,3624,,2026-04-01 17:20:04.138443+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3684
5379,3625,,2026-04-01 17:20:04.138556+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3685
5379,3626,,2026-04-01 17:20:04.138636+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3686
5379,3627,,2026-04-01 17:20:04.138727+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3687
5379,3628,,2026-04-01 17:20:04.138803+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3688
