EventID,RecordNumber,ErrorCode,Timestamp,User,EventName,ProcessId,Reason,Operation,MessageText,ProcessCreationTime,Source,CallerProcessName,AuthenticationPackageName,IpAddress,SubjectUserName,TargetUserName,CommandLine,ProcessName,ParentProcessName,WorkstationName,RowID
5379,8128,,2026-04-08 15:36:01.472742+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,pizza,,,,,,9170
5379,8129,,2026-04-08 15:36:01.472843+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,pizza,,,,,,9171
5379,8130,,2026-04-08 15:36:01.472923+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,pizza,,,,,,9172
44,772,,2026-04-08 15:36:27.786278+00:00,,,,,,,,System,,,,,,,,,,9173
43,773,,2026-04-08 15:36:28.552219+00:00,,,,,,,,System,,,,,,,,,,9174
7040,774,,2026-04-08 15:36:36.344606+00:00,,,,,,,,System,,,,,,,,,,9175
1,775,,2026-04-08 15:36:51.122482+00:00,,,,,,,,System,,,,,,,,,,9176
4624,8131,,2026-04-08 15:36:51.127453+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,9177
4672,8132,,2026-04-08 15:36:51.127462+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,9178
8224,273,,2026-04-08 15:36:51.334141+00:00,,,,,,,,Appiclation,,,,,,,,,,9179
7045,776,,2026-04-08 15:36:55.515686+00:00,,,,,,,,System,,,,,,,,,,9180
4624,8133,,2026-04-08 15:36:55.522928+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,9181
4672,8134,,2026-04-08 15:36:55.522932+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,9182
4624,8135,,2026-04-08 15:36:56.002371+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,9183
4672,8136,,2026-04-08 15:36:56.002375+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,9184
6,777,,2026-04-08 15:36:58.319630+00:00,,,,,,,,System,,,,,,,,,,9185
7045,778,,2026-04-08 15:36:58.428854+00:00,,,,,,,,System,,,,,,,,,,9186
19,779,,2026-04-08 15:37:13.416636+00:00,,,,,,,,System,,,,,,,,,,9187
15,274,,2026-04-08 15:37:15.625008+00:00,,,,,,,,Appiclation,,,,,,,,,,9188
15,275,,2026-04-08 15:37:17.684877+00:00,,,,,,,,Appiclation,,,,,,,,,,9189
4799,8137,,2026-04-08 15:37:18.324581+00:00,,,,,,,,Security,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{DC71D396-EB0D-4D58-A509-EDB06CABC849}\EDGEMITMP_3BAFE.tmp\setup.exe,,,NORMALVM$,Users,,,,,9190
15,276,,2026-04-08 15:37:20.255260+00:00,,,,,,,,Appiclation,,,,,,,,,,9191
15,277,,2026-04-08 15:37:22.371790+00:00,,,,,,,,Appiclation,,,,,,,,,,9192
16,780,,2026-04-08 15:37:22.926342+00:00,,,,,,,,System,,,,,,,,,,9193
5379,8138,,2026-04-08 15:37:23.433922+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,NORMALVM$,,,,,,9194
5379,8139,,2026-04-08 15:37:23.433996+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,NORMALVM$,,,,,,9195
5379,8140,,2026-04-08 15:37:23.434776+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,NORMALVM$,,,,,,9196
4624,8141,,2026-04-08 15:37:23.590338+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,9197
4672,8142,,2026-04-08 15:37:23.590342+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,9198
5379,8143,,2026-04-08 15:37:23.676962+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,pizza,,,,,,9199
5379,8144,,2026-04-08 15:37:23.677021+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,pizza,,,,,,9200
5379,8145,,2026-04-08 15:37:23.677053+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,pizza,,,,,,9201
5379,8146,,2026-04-08 15:37:23.679047+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,pizza,,,,,,9202
5379,8147,,2026-04-08 15:37:23.679277+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,pizza,,,,,,9203
5379,8148,,2026-04-08 15:37:23.682131+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,pizza,,,,,,9204
5379,8149,,2026-04-08 15:37:23.682169+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,pizza,,,,,,9205
5379,8150,,2026-04-08 15:37:23.921295+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,NORMALVM$,,,,,,9206
5379,8151,,2026-04-08 15:37:23.921593+00:00,,,,,,,2026-04-08 15:32:59.918915+00:00,Security,,,,NORMALVM$,,,,,,9207
