EventID,RecordNumber,ErrorCode,Timestamp,User,EventName,ProcessId,Reason,Operation,MessageText,ProcessCreationTime,Source,CallerProcessName,AuthenticationPackageName,IpAddress,SubjectUserName,TargetUserName,CommandLine,ProcessName,ParentProcessName,WorkstationName
5379,6215,,2026-04-01 18:13:22.475248+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6216,,2026-04-01 18:13:22.475327+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6217,,2026-04-01 18:13:22.475689+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6218,,2026-04-01 18:13:22.476942+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6219,,2026-04-01 18:13:22.486217+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6220,,2026-04-01 18:13:22.507095+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6221,,2026-04-01 18:13:22.660734+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6222,,2026-04-01 18:13:22.661024+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6223,,2026-04-01 18:13:27.387304+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6224,,2026-04-01 18:13:27.387512+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6225,,2026-04-01 18:13:27.387653+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6226,,2026-04-01 18:13:27.411200+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6227,,2026-04-01 18:13:27.411350+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6228,,2026-04-01 18:13:27.411602+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6229,,2026-04-01 18:13:27.876558+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6230,,2026-04-01 18:13:27.877443+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6231,,2026-04-01 18:13:27.877485+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6232,,2026-04-01 18:13:27.894653+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6233,,2026-04-01 18:13:27.894880+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6234,,2026-04-01 18:13:28.144722+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6235,,2026-04-01 18:13:28.144941+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6236,,2026-04-01 18:13:28.145086+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6237,,2026-04-01 18:13:28.172338+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6238,,2026-04-01 18:13:28.173054+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6239,,2026-04-01 18:13:28.173100+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6240,,2026-04-01 18:13:28.537359+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6241,,2026-04-01 18:13:28.543682+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6242,,2026-04-01 18:13:29.391720+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6243,,2026-04-01 18:13:29.391914+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6244,,2026-04-01 18:13:29.392073+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6245,,2026-04-01 18:13:29.564093+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6246,,2026-04-01 18:13:29.584858+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6247,,2026-04-01 18:13:29.685881+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6248,,2026-04-01 18:13:30.746502+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6249,,2026-04-01 18:13:30.755304+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6250,,2026-04-01 18:13:30.757708+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6251,,2026-04-01 18:13:30.757755+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6252,,2026-04-01 18:13:37.297176+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6253,,2026-04-01 18:13:37.298140+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6254,,2026-04-01 18:13:37.298191+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6255,,2026-04-01 18:13:37.597826+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6256,,2026-04-01 18:13:37.602104+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6257,,2026-04-01 18:13:37.630287+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6258,,2026-04-01 18:13:37.630629+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
5379,6259,,2026-04-01 18:13:37.630917+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,
256,236,,2026-04-01 18:13:46.061434+00:00,,,,,,,,Appiclation,,,,,,,,,
