EventID,RecordNumber,ErrorCode,Timestamp,User,EventName,ProcessId,Reason,Operation,MessageText,ProcessCreationTime,Source,CallerProcessName,AuthenticationPackageName,IpAddress,SubjectUserName,TargetUserName,CommandLine,ProcessName,ParentProcessName,WorkstationName,RowID
6000,229,,2026-04-01 18:12:32.792021+00:00,,,,,,,,Appiclation,,,,,,,,,,6300
5379,6025,,2026-04-01 18:12:33.539139+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6301
5379,6026,,2026-04-01 18:12:33.539572+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6302
5379,6027,,2026-04-01 18:12:33.539806+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6303
5379,6028,,2026-04-01 18:12:34.443573+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6304
5379,6029,,2026-04-01 18:12:34.479975+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6305
5379,6030,,2026-04-01 18:12:34.522604+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6306
5379,6031,,2026-04-01 18:12:34.523006+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6307
5379,6032,,2026-04-01 18:12:34.528772+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6308
5379,6033,,2026-04-01 18:12:34.683596+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6309
5379,6034,,2026-04-01 18:12:34.723724+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6310
4624,6035,,2026-04-01 18:12:34.737844+00:00,,,0x00000000000002e0,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,6311
4672,6036,,2026-04-01 18:12:34.737848+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,6312
5379,6037,,2026-04-01 18:12:34.780127+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6313
5379,6038,,2026-04-01 18:12:34.780331+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6314
5379,6039,,2026-04-01 18:12:34.783674+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6315
5379,6040,,2026-04-01 18:12:34.784218+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6316
5379,6041,,2026-04-01 18:12:34.784281+00:00,,,,,,,2026-04-01 18:09:10.508995+00:00,Security,,,,pizza,,,,,,6317
5058,6042,,2026-04-01 18:12:35.014017+00:00,,,,,%%2458,,,Security,,,,pizza,,,,,,6318
5061,6043,,2026-04-01 18:12:35.014971+00:00,,,,,%%2480,,,Security,,,,pizza,,,,,,6319
