EventID,RecordNumber,ErrorCode,Timestamp,User,EventName,ProcessId,Reason,Operation,MessageText,ProcessCreationTime,Source,CallerProcessName,AuthenticationPackageName,IpAddress,SubjectUserName,TargetUserName,CommandLine,ProcessName,ParentProcessName,WorkstationName,RowID
5379,3719,,2026-04-01 17:20:15.191401+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3780
5379,3720,,2026-04-01 17:20:15.191502+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3781
5379,3721,,2026-04-01 17:20:15.191759+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3782
5379,3722,,2026-04-01 17:20:15.192427+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3783
5379,3723,,2026-04-01 17:20:15.193167+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3784
5379,3724,,2026-04-01 17:20:15.193354+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3785
5379,3725,,2026-04-01 17:20:15.193623+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3786
5379,3726,,2026-04-01 17:20:15.193888+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3787
5379,3727,,2026-04-01 17:20:15.194149+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3788
5379,3728,,2026-04-01 17:20:15.194334+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3789
5379,3729,,2026-04-01 17:20:15.194544+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3790
5379,3730,,2026-04-01 17:20:15.194908+00:00,,,,,,,2026-04-01 17:17:51.206451+00:00,Security,,,,pizza,,,,,,3791
10016,515,,2026-04-01 17:20:16.270975+00:00,,,,,,,,System,,,,,,,,,,3792
10016,514,,2026-04-01 17:20:16.270975+00:00,,,,,,,,System,,,,,,,,,,3793
10016,516,,2026-04-01 17:20:16.273317+00:00,,,,,,,,System,,,,,,,,,,3794
