EventID,RecordNumber,ErrorCode,Timestamp,User,EventName,ProcessId,Reason,Operation,MessageText,ProcessCreationTime,Source,CallerProcessName,AuthenticationPackageName,IpAddress,SubjectUserName,TargetUserName,CommandLine,ProcessName,ParentProcessName,WorkstationName
4688,11046,,2026-04-08 16:21:24.841183+00:00,,,0x0000000000000df8,,,,,Security,,,,pizza,-,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --noerrdialogs --user-data-dir=""C:\Users\pizza\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=Widgets.exe --webview-exe-version=526.1202.10.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=1776,i,16295594689295977422,4162964333501203799,524288 --field-trial-handle=2228,i,7183740068659207902,2882136987270805104,262144 --variations-seed-version --pseudonymization-salt-handle=2232,i,13275570900427019124,6051898983168592210,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2292 /prefetch:11 /pfhostedapp:a8eda00653c581dfd3dbafe4c7afd6e7acade90e",,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe,
4673,11047,,2026-04-08 16:21:24.862074+00:00,,,0x0000000000000df8,,,,,Security,,,,pizza,,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe,,
4688,11048,,2026-04-08 16:21:24.862936+00:00,,,0x0000000000000df8,,,,,Security,,,,pizza,-,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --noerrdialogs --user-data-dir=""C:\Users\pizza\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=Widgets.exe --webview-exe-version=526.1202.10.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=1884,i,12072807232734045368,11062595015086227109,524288 --field-trial-handle=2228,i,7183740068659207902,2882136987270805104,262144 --variations-seed-version --pseudonymization-salt-handle=2232,i,13275570900427019124,6051898983168592210,4 --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=428 /prefetch:13 /pfhostedapp:a8eda00653c581dfd3dbafe4c7afd6e7acade90e",,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe,
4673,11049,,2026-04-08 16:21:24.977598+00:00,,,0x0000000000000df8,,,,,Security,,,,pizza,,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe,,
4688,11050,,2026-04-08 16:21:24.980486+00:00,,,0x0000000000000df8,,,,,Security,,,,pizza,-,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\pizza\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=Widgets.exe --webview-exe-version=526.1202.10.0 --embedded-browser-webview=1 --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=5 --time-ticks-at-unix-epoch=-1775664902074034 --launch-time-ticks=382889972 --ram-no-pressure-read-main-dll --metrics-shmem-handle=3512,i,8999388767725491675,11434410206761238620,2097152 --field-trial-handle=2228,i,7183740068659207902,2882136987270805104,262144 --variations-seed-version --pseudonymization-salt-handle=2232,i,13275570900427019124,6051898983168592210,4 --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3528 /pfhostedapp:a8eda00653c581dfd3dbafe4c7afd6e7acade90e /prefetch:1",,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe,
5379,11051,,2026-04-08 16:21:26.946760+00:00,,,,,,,2026-04-08 16:15:10.426329+00:00,Security,,,,pizza,,,,,
5379,11052,,2026-04-08 16:21:26.948154+00:00,,,,,,,2026-04-08 16:15:10.426329+00:00,Security,,,,pizza,,,,,
5379,11053,,2026-04-08 16:21:26.948208+00:00,,,,,,,2026-04-08 16:15:10.426329+00:00,Security,,,,pizza,,,,,
5379,11054,,2026-04-08 16:21:27.588402+00:00,,,,,,,2026-04-08 16:15:10.426329+00:00,Security,,,,pizza,,,,,
5379,11055,,2026-04-08 16:21:27.595203+00:00,,,,,,,2026-04-08 16:15:10.426329+00:00,Security,,,,pizza,,,,,
5379,11056,,2026-04-08 16:21:27.642759+00:00,,,,,,,2026-04-08 16:15:10.426329+00:00,Security,,,,pizza,,,,,
5379,11057,,2026-04-08 16:21:27.643242+00:00,,,,,,,2026-04-08 16:15:10.426329+00:00,Security,,,,pizza,,,,,
5379,11058,,2026-04-08 16:21:27.643633+00:00,,,,,,,2026-04-08 16:15:10.426329+00:00,Security,,,,pizza,,,,,
1801,953,,2026-04-08 16:21:29.142374+00:00,,,,,,,,System,,,,,,,,,
1796,954,,2026-04-08 16:21:29.177418+00:00,,,,,,,,System,,,,,,,,,
1796,955,,2026-04-08 16:21:29.177479+00:00,,,,,,,,System,,,,,,,,,
4688,11059,,2026-04-08 16:21:30.066088+00:00,,,0x0000000000001918,,,,,Security,,,,NORMALVM$,-,"powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""MaximumPasswordAge""; Remove-Item $env:TEMP\secpol.cfg",,C:\Program Files (x86)\ossec-agent\wazuh-agent.exe,
4688,11060,,2026-04-08 16:21:43.752390+00:00,,,0x0000000000002530,,,,,Security,,,,NORMALVM$,-,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,
7040,956,,2026-04-08 16:21:47.983870+00:00,,,,,,,,System,,,,,,,,,
4688,11061,,2026-04-08 16:21:59.636097+00:00,,,0x0000000000000364,,,,,Security,,,,NORMALVM$,pizza,"""C:\WINDOWS\system32\DllHost.exe"" /Processid:{5250E46F-BB09-D602-5891-F476DC89B700}",,C:\Windows\System32\svchost.exe,
4673,11062,,2026-04-08 16:21:59.657309+00:00,,,0x0000000000000364,,,,,Security,,,,pizza,,,C:\Windows\System32\svchost.exe,,
4688,11063,,2026-04-08 16:22:00.081705+00:00,,,0x0000000000001918,,,,,Security,,,,NORMALVM$,-,"powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""MinimumPasswordAge""; Remove-Item $env:TEMP\secpol.cfg",,C:\Program Files (x86)\ossec-agent\wazuh-agent.exe,
4688,11064,,2026-04-08 16:22:00.197889+00:00,,,0x00000000000018b8,,,,,Security,,,,pizza,-,"""C:\Users\pizza\AppData\Local\Microsoft\OneDrive\26.045.0308.0001\OneDriveActionHelper.exe"" /disable=Microsoft.OneDrive.CreateFAQ;Microsoft.OneDrive.File.CreateFAQ",,C:\Users\pizza\AppData\Local\Microsoft\OneDrive\OneDrive.exe,
4688,11065,,2026-04-08 16:22:00.227545+00:00,,,0x00000000000018b8,,,,,Security,,,,pizza,-,"""C:\Users\pizza\AppData\Local\Microsoft\OneDrive\26.045.0308.0001\OneDriveActionHelper.exe"" /disable=Microsoft.OneDrive.CreateFAQ;Microsoft.OneDrive.File.CreateFAQ",,C:\Users\pizza\AppData\Local\Microsoft\OneDrive\OneDrive.exe,
4673,11066,,2026-04-08 16:22:00.236633+00:00,,,0x0000000000001204,,,,,Security,,,,pizza,,,C:\Windows\System32\svchost.exe,,
4688,11067,,2026-04-08 16:22:00.488035+00:00,,,0x0000000000000364,,,,,Security,,,,NORMALVM$,pizza,"""C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe"" -Embedding",,C:\Windows\System32\svchost.exe,
4673,11068,,2026-04-08 16:22:00.491459+00:00,,,0x0000000000000364,,,,,Security,,,,pizza,,,C:\Windows\System32\svchost.exe,,
5379,11069,,2026-04-08 16:22:01.058172+00:00,,,,,,,2026-04-08 16:15:10.426329+00:00,Security,,,,pizza,,,,,
