EventID,RecordNumber,ErrorCode,Timestamp,User,EventName,ProcessId,Reason,Operation,MessageText,ProcessCreationTime,Source,CallerProcessName,AuthenticationPackageName,IpAddress,SubjectUserName,TargetUserName,CommandLine,ProcessName,ParentProcessName,WorkstationName
5379,994,,2026-04-01 16:48:03.308506+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
4799,995,,2026-04-01 16:48:04.858847+00:00,,,,,,,,Security,C:\Windows\System32\oobe\UserOOBEBroker.exe,,,pizza,Administrators,,,,
4624,996,,2026-04-01 16:48:05.779190+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-
4672,997,,2026-04-01 16:48:05.779194+00:00,,,,,,,,Security,,,,SYSTEM,,,,,
0,128,,2026-04-01 16:48:05.843029+00:00,,,,,,,,Appiclation,,,,,,,,,
4798,998,,2026-04-01 16:48:10.372208+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,NORMALVM$,Administrator,,,,
4798,999,,2026-04-01 16:48:10.372547+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,NORMALVM$,DefaultAccount,,,,
4798,1000,,2026-04-01 16:48:10.372881+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,NORMALVM$,defaultuser0,,,,
4798,1001,,2026-04-01 16:48:10.373241+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,NORMALVM$,Guest,,,,
4798,1002,,2026-04-01 16:48:10.373569+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,NORMALVM$,pizza,,,,
4798,1003,,2026-04-01 16:48:10.374832+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,NORMALVM$,Administrator,,,,
4798,1004,,2026-04-01 16:48:10.375111+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,NORMALVM$,DefaultAccount,,,,
4798,1005,,2026-04-01 16:48:10.375467+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,NORMALVM$,defaultuser0,,,,
4798,1006,,2026-04-01 16:48:10.375750+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,NORMALVM$,Guest,,,,
4798,1007,,2026-04-01 16:48:10.376057+00:00,,,,,,,,Security,C:\Windows\System32\taskhostw.exe,,,NORMALVM$,pizza,,,,
5379,1008,,2026-04-01 16:48:10.884724+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1009,,2026-04-01 16:48:10.885546+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1010,,2026-04-01 16:48:10.885593+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1011,,2026-04-01 16:48:10.888147+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1012,,2026-04-01 16:48:10.897383+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
4624,1013,,2026-04-01 16:48:11.327179+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-
4672,1014,,2026-04-01 16:48:11.327183+00:00,,,,,,,,Security,,,,SYSTEM,,,,,
5379,1015,,2026-04-01 16:48:11.516447+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1016,,2026-04-01 16:48:11.516613+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1017,,2026-04-01 16:48:11.516754+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1018,,2026-04-01 16:48:11.516834+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1019,,2026-04-01 16:48:11.516966+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1020,,2026-04-01 16:48:11.517040+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1021,,2026-04-01 16:48:11.517294+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1022,,2026-04-01 16:48:11.517445+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1023,,2026-04-01 16:48:11.517597+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1024,,2026-04-01 16:48:11.517681+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1025,,2026-04-01 16:48:11.517797+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1026,,2026-04-01 16:48:11.517870+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
5379,1027,,2026-04-01 16:48:11.517979+00:00,,,,,,,2026-04-01 16:43:51.213001+00:00,Security,,,,pizza,,,,,
