EventID,RecordNumber,ErrorCode,Timestamp,User,EventName,ProcessId,Reason,Operation,MessageText,ProcessCreationTime,Source,CallerProcessName,AuthenticationPackageName,IpAddress,SubjectUserName,TargetUserName,CommandLine,ProcessName,ParentProcessName,WorkstationName,RowID
172,460,,2026-04-01 17:17:39.192188+00:00,,,,6.0,,,,System,,,,,,,,,,2870
55,461,,2026-04-01 17:17:39.403511+00:00,,,,,,,,System,,,,,,,,,,2871
32,462,,2026-04-01 17:17:39.681103+00:00,,,,,,,,System,,,,,,,,,,2872
4688,2897,,2026-04-01 17:17:40.011488+00:00,,,0x0000000000000174,,,,,Security,,,,-,-,,,C:\Windows\System32\smss.exe,,2873
98,463,,2026-04-01 17:17:40.191269+00:00,,,,,,,,System,,,,,,,,,,2874
24,464,,2026-04-01 17:17:40.282434+00:00,,,,,,,,System,,,,,,,,,,2875
4688,2898,,2026-04-01 17:17:40.320972+00:00,,,0x0000000000000174,,,,,Security,,,,-,-,,,C:\Windows\System32\smss.exe,,2876
4688,2899,,2026-04-01 17:17:40.411430+00:00,,,0x0000000000000200,,,,,Security,,,,-,-,,,C:\Windows\System32\smss.exe,,2877
4688,2900,,2026-04-01 17:17:40.504499+00:00,,,0x0000000000000174,,,,,Security,,,,-,-,,,C:\Windows\System32\smss.exe,,2878
4688,2901,,2026-04-01 17:17:40.508884+00:00,,,0x0000000000000200,,,,,Security,,,,-,-,,,C:\Windows\System32\smss.exe,,2879
4688,2902,,2026-04-01 17:17:40.522341+00:00,,,0x000000000000025c,,,,,Security,,,,-,-,,,C:\Windows\System32\smss.exe,,2880
4688,2903,,2026-04-01 17:17:40.544018+00:00,,,0x000000000000025c,,,,,Security,,,,-,-,,,C:\Windows\System32\smss.exe,,2881
19,465,,2026-04-01 17:17:40.588276+00:00,,,,,,,,System,,,,,,,,,,2882
25,466,,2026-04-01 17:17:40.588295+00:00,,,,,,,,System,,,,,,,,,,2883
23,467,,2026-04-01 17:17:40.588879+00:00,,,,,,,,System,,,,,,,,,,2884
4688,2904,,2026-04-01 17:17:40.665174+00:00,,,0x0000000000000264,,,,,Security,,,,-,-,,,C:\Windows\System32\wininit.exe,,2885
14,468,,2026-04-01 17:17:40.717939+00:00,,,,,,,,System,,,,,,,,,,2886
12,469,,2026-04-01 17:17:40.720018+00:00,,,,,,,,System,,,,,,,,,,2887
4688,2905,,2026-04-01 17:17:40.723438+00:00,,,0x0000000000000264,,,,,Security,,,,-,-,,,C:\Windows\System32\wininit.exe,,2888
6156,470,,2026-04-01 17:17:40.791609+00:00,,,,,,,,System,,,,,,,,,,2889
6417,2906,,2026-04-01 17:17:40.809109+00:00,,,0x00000000000002e4,,,,,Security,,,,,,,C:\Windows\System32\lsass.exe,,,2890
4608,2907,,2026-04-01 17:17:40.812527+00:00,,,,,,,,Security,,,,,,,,,,2891
4624,2908,,2026-04-01 17:17:40.818050+00:00,,,0x0000000000000004,,,,,Security,,-,-,-,SYSTEM,,,,-,2892
4902,2909,,2026-04-01 17:17:40.988558+00:00,,,,,,,,Security,,,,,,,,,,2893
16962,471,,2026-04-01 17:17:40.994728+00:00,,,,,,,,System,,,,,,,,,,2894
16977,472,,2026-04-01 17:17:41.006733+00:00,,,,,,,,System,,,,,,,,,,2895
16983,473,,2026-04-01 17:17:41.006735+00:00,,,,,,,,System,,,,,,,,,,2896
4648,2910,,2026-04-01 17:17:41.082312+00:00,,,0x0000000000000264,,,,,Security,,,-,NORMALVM$,UMFD-0,,C:\Windows\System32\wininit.exe,,,2897
4624,2911,,2026-04-01 17:17:41.082338+00:00,,,0x0000000000000264,,,,,Security,,Negotiate,-,NORMALVM$,UMFD-0,,C:\Windows\System32\wininit.exe,,-,2898
4648,2912,,2026-04-01 17:17:41.082682+00:00,,,0x000000000000029c,,,,,Security,,,-,NORMALVM$,UMFD-1,,C:\Windows\System32\winlogon.exe,,,2899
4624,2913,,2026-04-01 17:17:41.082693+00:00,,,0x000000000000029c,,,,,Security,,Negotiate,-,NORMALVM$,UMFD-1,,C:\Windows\System32\winlogon.exe,,-,2900
4624,2914,,2026-04-01 17:17:41.101875+00:00,,,0x00000000000002dc,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,2901
4672,2915,,2026-04-01 17:17:41.101883+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,2902
4624,2916,,2026-04-01 17:17:41.327955+00:00,,,0x00000000000002dc,,,,,Security,,Negotiate,-,NORMALVM$,NETWORK SERVICE,,C:\Windows\System32\services.exe,,-,2903
4672,2917,,2026-04-01 17:17:41.328070+00:00,,,,,,,,Security,,,,NETWORK SERVICE,,,,,,2904
4624,2918,,2026-04-01 17:17:41.412100+00:00,,,0x00000000000002dc,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,2905
4672,2919,,2026-04-01 17:17:41.412106+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,2906
